,merops_id,count,max,75%,50%,25%,min,std,mean,mode
32,C101.001,3,76,76.0,76.0,76.0,76,0.0,76.0,76
33,C115.001,3,76,76.0,76.0,76.0,76,0.0,76.0,76
34,C12.001,3,76,76.0,76.0,76.0,76,0.0,76.0,76
35,C12.003,3,76,76.0,76.0,76.0,76,0.0,76.0,76
36,C12.004,3,76,76.0,76.0,76.0,76,0.0,76.0,76
37,C121.001,3,76,76.0,76.0,76.0,76,0.0,76.0,76
38,C13.002,9,220,154.0,154.0,41.0,30,68.29246745513821,120.88888888888889,154
39,C13.004,12250,8746,142.0,67.0,30.0,3,234.3250876240645,130.48489795918368,21
40,C13.005,26,291,84.5,64.0,55.25,16,68.1686144790988,87.0,62
41,C14.001,826,1082,112.0,53.5,24.0,3,124.25228233189762,95.56053268765133,21
42,C14.003,3132,3235,111.0,59.5,28.0,3,156.16420697816486,103.1411238825032,21
43,C14.004,2184,3611,112.25,52.5,26.0,3,189.5757613922528,104.19139194139194,21
44,C14.005,7740,2274,119.0,55.0,32.0,3,158.6292892791197,105.54586563307494,21
45,C14.006,1621,2206,117.0,61.0,32.0,3,141.89453680846395,103.56446637877853,22
46,C14.007,21,496,83.0,60.0,27.0,6,109.67037191598503,81.0952380952381,7
47,C14.008,9,58,40.0,20.0,7.0,6,20.63371028196335,24.333333333333332,7
48,C14.009,405,3611,117.0,60.0,23.0,3,329.3187525629759,140.3827160493827,21
49,C14.010,52,399,133.75,68.0,31.75,18,98.7707554986788,104.84615384615384,261
50,C14.011,24,138,74.0,49.5,31.75,14,36.799077453779674,57.791666666666664,20
51,C14.018,49,597,246.0,94.0,37.0,3,155.0725389839825,162.3877551020408,86
52,C14.026,83,488,91.5,49.0,32.0,3,91.35744512572627,87.01204819277109,38
53,C19.001,6,76,76.0,76.0,76.0,76,0.0,76.0,76
54,C19.010,15,76,76.0,76.0,76.0,76,0.0,76.0,76
55,C19.011,12,76,76.0,76.0,76.0,76,0.0,76.0,76
56,C19.012,9,76,76.0,76.0,76.0,76,0.0,76.0,76
57,C19.013,12,76,76.0,76.0,76.0,76,0.0,76.0,76
58,C19.014,3,76,76.0,76.0,76.0,76,0.0,76.0,76
59,C19.016,21,76,76.0,76.0,76.0,76,0.0,76.0,76
60,C19.017,12,76,76.0,76.0,76.0,76,0.0,76.0,76
61,C19.018,6,76,76.0,76.0,76.0,76,0.0,76.0,76
62,C19.019,6,76,76.0,76.0,76.0,76,0.0,76.0,76
63,C19.022,6,76,76.0,76.0,76.0,76,0.0,76.0,76
64,C19.023,3,76,76.0,76.0,76.0,76,0.0,76.0,76
65,C19.024,3,76,76.0,76.0,76.0,76,0.0,76.0,76
66,C19.025,6,76,76.0,76.0,76.0,76,0.0,76.0,76
67,C19.028,3,76,76.0,76.0,76.0,76,0.0,76.0,76
68,C19.030,6,79,76.75,76.0,76.0,5,29.335416592689914,64.83333333333333,76
69,C19.037,12,76,76.0,76.0,76.0,76,0.0,76.0,76
70,C19.042,3,76,76.0,76.0,76.0,76,0.0,76.0,76
71,C19.046,3,76,76.0,76.0,76.0,76,0.0,76.0,76
72,C19.047,3,76,76.0,76.0,76.0,76,0.0,76.0,76
73,C19.048,3,76,76.0,76.0,76.0,76,0.0,76.0,76
74,C19.052,3,76,76.0,76.0,76.0,76,0.0,76.0,76
75,C19.053,6,76,76.0,76.0,76.0,76,0.0,76.0,76
76,C19.054,3,76,76.0,76.0,76.0,76,0.0,76.0,76
77,C19.056,3,76,76.0,76.0,76.0,76,0.0,76.0,76
78,C19.057,6,76,76.0,76.0,76.0,76,0.0,76.0,76
79,C19.059,3,76,76.0,76.0,76.0,76,0.0,76.0,76
80,C19.060,9,76,76.0,76.0,76.0,76,0.0,76.0,76
81,C19.064,3,76,76.0,76.0,76.0,76,0.0,76.0,76
82,C19.065,3,76,76.0,76.0,76.0,76,0.0,76.0,76
83,C19.067,9,76,76.0,76.0,76.0,76,0.0,76.0,76
84,C19.073,3,76,76.0,76.0,76.0,76,0.0,76.0,76
85,C19.078,3,76,76.0,76.0,76.0,76,0.0,76.0,76
86,C44.001,1,220,220.0,220.0,220.0,220,0.0,220.0,220
87,C46.002,3,24,24.0,24.0,22.0,20,2.309401076758503,22.666666666666668,24
88,C48.002,34,80,78.0,10.0,5.5,4,35.25492848063499,38.61764705882353,78
89,C48.003,7,80,79.0,74.0,42.0,4,34.38715153187584,57.142857142857146,74
90,C48.004,11,80,80.0,78.0,10.0,4,36.59905612295089,53.09090909090909,80
91,C48.007,15,80,78.0,10.0,7.0,4,36.60601043544625,40.0,78
92,C48.008,3,80,80.0,80.0,79.0,78,1.1547005383792515,79.33333333333333,80
93,C48.009,1,80,80.0,80.0,80.0,80,0.0,80.0,80
94,C48.011,2,3,3.0,3.0,3.0,3,0.0,3.0,3
95,C50.002,12,96,79.5,65.5,56.5,55,17.20200833940883,70.5,96
96,C54.002,5,82,33.0,22.0,5.0,3,32.11697370550345,29.0,22
97,C54.003,4,82,45.25,27.5,17.25,3,33.69470779415268,35.0,22
98,C64.001,6,76,76.0,76.0,76.0,76,0.0,76.0,76
99,C64.002,3,76,76.0,76.0,76.0,76,0.0,76.0,76
100,C64.003,3,76,76.0,76.0,76.0,76,0.0,76.0,76
101,C64.004,12,76,76.0,76.0,76.0,76,0.0,76.0,76
102,C64.006,3,76,76.0,76.0,76.0,76,0.0,76.0,76
103,C65.001,9,76,76.0,76.0,76.0,76,0.0,76.0,76
104,C65.002,6,76,76.0,76.0,76.0,76,0.0,76.0,76
105,C67.001,15,76,76.0,76.0,76.0,76,0.0,76.0,76
106,C78.003,3,76,76.0,76.0,76.0,76,0.0,76.0,76
107,C85.001,6,76,76.0,76.0,76.0,76,0.0,76.0,76
108,C85.003,3,76,76.0,76.0,76.0,76,0.0,76.0,76
109,C85.004,3,76,76.0,76.0,76.0,76,0.0,76.0,76
110,C85.007,3,76,76.0,76.0,76.0,76,0.0,76.0,76
111,C85.008,8,76,76.0,76.0,76.0,76,0.0,76.0,76
112,C86.001,3,76,76.0,76.0,76.0,76,0.0,76.0,76
113,C98.001,7,80,78.0,10.0,7.0,4,38.391467305962166,37.714285714285715,78
114,M01.001,4,88,37.75,20.5,20.0,20,33.83661724621223,37.25,20
115,M01.003,23,353,137.0,29.0,19.0,11,137.2664527529702,109.52173913043478,19
116,M01.004,3,88,54.0,20.0,20.0,20,39.25981830489455,42.666666666666664,20
117,M01.010,3,88,54.0,20.0,20.0,20,39.25981830489455,42.666666666666664,20
118,M01.011,5,169,105.0,104.0,104.0,34,47.756674926129435,103.2,104
119,M01.018,73,652,39.0,22.0,19.0,5,146.75573390430085,70.58904109589041,21
120,M01.024,130,652,52.0,33.0,12.5,4,114.00998606734817,64.04615384615384,9
121,M01.026,11,169,104.0,74.0,24.0,10,50.95755809762402,66.54545454545455,104
122,M02.001,31,684,93.5,48.0,24.5,15,164.0263157486155,100.96774193548387,684
123,M02.004,13,169,105.0,45.0,37.0,9,49.46068109477441,71.23076923076923,104
124,M02.006,13,169,104.0,104.0,36.0,22,42.058567223849614,83.61538461538461,104
125,M03.001,11,169,104.0,25.0,21.5,18,52.345530329289296,58.63636363636363,25
126,M03.002,5,169,105.0,104.0,104.0,34,47.756674926129435,103.2,104
127,M03.006,11,169,120.5,104.0,35.5,30,51.780480702849616,91.72727272727273,104
128,M10.001,271,1141,107.0,72.0,35.5,5,240.1911792080613,143.09225092250924,96
129,M10.002,905,1141,120.0,89.0,44.0,3,253.81597198285016,158.24861878453038,44
130,M10.003,11527,3611,132.0,61.0,32.0,3,294.13685513824686,138.94777478962436,36
131,M10.004,1884,1268,109.0,59.0,40.0,3,270.03049720708066,155.2112526539278,44
132,M10.005,9368,2896,131.0,63.0,31.0,3,170.9508873769549,119.12585397096498,21
133,M10.006,87,761,120.0,93.0,49.0,11,123.10127789379688,109.55172413793103,150
134,M10.007,52,526,106.0,57.5,38.75,4,117.65390581508332,106.59615384615384,25
135,M10.008,898,1141,99.75,59.0,31.0,3,167.39436258179123,106.77060133630289,31
136,M10.009,750,1204,92.75,45.0,31.0,3,253.18319690917832,136.13333333333333,31
137,M10.013,661,1204,235.0,59.0,39.0,3,361.6333080404134,230.97730711043872,235
138,M10.014,766,1141,127.0,55.0,30.0,3,168.97292871667167,115.78851174934726,21
139,M10.015,28,150,150.0,113.0,76.0,76,37.678955714081354,113.0,150
140,M10.016,101,1100,150.0,76.0,28.0,9,230.04545224587665,140.0990099009901,150
141,M10.017,76,684,150.0,76.0,31.0,15,112.30167626187986,98.98684210526316,150
142,M10.019,121,799,96.0,79.0,36.0,7,140.1902568894207,101.22314049586777,97
143,M10.021,54,761,99.0,92.0,49.0,20,150.36978412446436,122.85185185185185,92
144,M10.023,3,74,49.0,24.0,17.0,10,33.645207682521445,36.0,74
145,M10.024,97,247,146.0,76.0,69.0,11,51.4529612023919,93.68041237113403,150
146,M10.029,67,301,94.0,78.0,43.0,3,71.54608728054971,86.28358208955224,44
147,M12.002,3240,4030,118.0,60.0,30.0,3,203.6027199921683,114.0354938271605,36
148,M12.004,4351,5011,116.0,59.0,29.0,3,231.13042110012051,114.04964376005516,21
149,M12.005,302,1531,124.0,59.0,38.0,3,278.6748431866816,164.77814569536423,59
150,M12.016,89,1531,174.0,88.0,48.0,9,356.34182991144525,230.7191011235955,61
151,M12.018,26,1531,205.0,95.0,88.0,20,384.0550761784845,270.3076923076923,88
152,M12.021,45,1738,115.0,75.0,30.0,20,297.19014421441,149.53333333333333,96
153,M12.208,131,1058,100.5,88.0,32.5,9,152.34451214822076,106.2824427480916,21
154,M12.209,42,684,146.0,42.0,23.0,15,144.06725104026816,104.42857142857143,21
155,M12.210,311,1707,101.0,41.0,27.0,4,194.13844881786744,110.21543408360128,21
156,M12.214,47,497,130.0,45.0,28.0,9,91.43289396085719,86.06382978723404,21
157,M12.217,419,1717,89.5,39.0,24.0,3,213.52671766448827,109.15035799522673,37
158,M12.219,8,323,323.0,323.0,323.0,323,0.0,323.0,323
159,M12.221,434,1754,116.0,87.0,37.0,5,247.81816373096308,151.86175115207374,96
160,M12.222,306,1754,114.75,94.0,33.0,20,243.5360253634863,146.96732026143792,96
161,M12.224,27,114,79.0,67.0,37.0,9,33.236140354154024,61.55555555555556,114
162,M12.225,327,1743,96.0,85.0,37.0,5,243.15100079080233,140.23853211009174,32
163,M12.226,29,761,115.0,96.0,61.0,20,196.24888064065323,157.13793103448276,96
164,M12.241,19,181,168.5,67.0,51.5,24,60.82310656648229,98.3157894736842,168
165,M12.244,24,684,109.5,45.0,22.5,15,141.7454789300225,97.04166666666667,21
166,M12.301,16,1141,1031.25,236.0,59.0,17,487.47806360902024,479.0625,59
167,M13.001,154,684,61.0,34.0,20.0,5,81.22743756385974,55.54545454545455,20
168,M13.002,97,684,91.0,45.0,21.0,15,134.35046267618822,82.9278350515464,15
169,M13.003,19,182,104.5,40.0,29.0,15,61.98339713558653,74.05263157894737,182
170,M13.008,42,684,96.0,46.5,21.0,5,143.73472145235897,90.52380952380952,20
171,M13.090,7,66,41.0,20.0,15.5,15,19.637185328326655,30.571428571428573,15
172,M13.091,8,250,140.5,104.0,12.0,12,98.55527818002878,106.0,12
173,M14.004,34,257,132.0,31.0,16.25,3,81.79913771233339,74.1470588235294,30
174,M14.005,6,61,54.25,34.0,31.0,30,15.081998099279375,41.666666666666664,61
175,M14.006,26,1010,88.75,41.0,24.75,3,193.54258923077847,89.42307692307692,41
176,M14.009,49,257,105.0,37.0,21.0,3,84.78680245620953,79.10204081632654,45
177,M14.010,6,480,45.0,33.0,16.5,15,184.96891630757855,103.5,15
178,M14.017,122,3611,155.25,43.0,28.0,4,405.4365189499489,159.80327868852459,40
179,M14.018,42,1287,180.0,40.0,25.0,20,227.6497005903188,150.83333333333334,20
180,M14.028,2,21,20.75,20.5,20.25,20,0.7071067811865476,20.5,20
181,M16.002,481,684,76.0,76.0,28.0,5,104.70532041569865,75.17671517671518,76
182,M16.005,7,44,28.0,22.0,21.5,5,12.120427463780388,24.285714285714285,22
183,M16.009,168,684,91.0,39.0,21.0,5,149.72433168660996,92.20833333333333,20
184,M18.002,3,88,54.0,20.0,20.0,20,39.25981830489455,42.666666666666664,20
185,M24.002,88,454,70.75,31.0,28.5,3,70.81936859085306,61.29545454545455,30
186,M24.005,5,169,105.0,104.0,104.0,34,47.756674926129435,103.2,104
187,M24.009,5,169,105.0,104.0,104.0,34,47.756674926129435,103.2,104
188,M24.017,1,23,23.0,23.0,23.0,23,0.0,23.0,23
189,M24.026,25,180,80.0,38.0,21.0,5,47.86794334416302,56.56,21
190,M24.028,272,651,33.25,21.0,11.0,3,59.28714024908517,32.845588235294116,21
191,M41.006,13,657,179.0,17.0,4.0,4,188.49202526829507,122.07692307692308,4
192,M43.004,17,312,81.0,75.0,61.0,20,65.29762179256383,75.82352941176471,81
193,M43.005,3,81,78.0,75.0,47.5,20,33.620430296671294,58.666666666666664,81
194,M48.003,15,357,134.0,59.0,25.0,10,101.83614289632145,98.2,25
195,M49.001,3,88,54.0,20.0,20.0,20,39.25981830489455,42.666666666666664,20
196,M50.001,27,585,198.0,51.0,22.0,21,183.56142764970454,144.4814814814815,21
197,M67.002,28,317,141.0,64.0,22.0,21,100.12648085952172,96.14285714285714,317
198,M67.006,3,76,76.0,76.0,76.0,76,0.0,76.0,76
199,M87.001,9,170,170.0,170.0,154.0,154,8.432740427115679,162.88888888888889,170
200,M87.002,13,171,171.0,155.0,23.0,21,74.47207358191218,100.38461538461539,171
201,M87.003,12,873,173.75,152.0,21.0,16,310.7288962579711,222.91666666666666,21
202,P02.001,22,517,47.75,21.0,21.0,4,108.36382521265395,57.36363636363637,21
203,P02.010,24,834,55.0,23.5,21.0,4,181.50429687092452,92.625,21
204,P02.011,24,843,48.5,25.0,19.25,5,181.29889145683782,89.625,26
205,P02.038,51,3051,89.0,75.0,21.5,13,427.58237458859725,142.41176470588235,21
206,S01.010,9513,8746,117.0,59.0,30.0,3,178.0875276826836,105.76316619362977,20
207,S01.011,16,50,31.0,26.5,11.0,6,13.124404748406688,24.125,28
208,S01.015,89,242,139.0,86.0,86.0,3,37.34527152684376,102.03370786516854,139
209,S01.017,366,647,79.0,28.0,21.0,3,92.27747466345316,66.04371584699453,21
210,S01.019,32,976,115.0,38.0,36.0,5,231.12440573729845,121.65625,36
211,S01.020,43,235,224.5,70.0,46.0,32,81.24914174519022,113.65116279069767,67
212,S01.021,320,835,92.0,63.0,30.0,4,85.10347927412327,80.853125,22
213,S01.029,448,1301,91.0,43.0,22.0,3,116.7741322665373,78.37053571428571,21
214,S01.033,47,257,105.0,84.0,38.0,3,74.31832675072029,93.70212765957447,104
215,S01.034,83,466,88.0,70.0,25.0,21,136.1753204364658,102.65060240963855,21
216,S01.047,288,837,128.25,74.0,33.0,4,117.16079178805587,104.4375,22
217,S01.072,738,8746,98.0,90.0,44.25,3,392.3905148107508,115.23577235772358,96
218,S01.081,1,234,234.0,234.0,234.0,234,0.0,234.0,234
219,S01.127,36,649,160.5,32.0,24.0,6,154.2352768821732,100.77777777777777,28
220,S01.131,3747,2206,95.0,59.0,40.0,3,104.93000117383812,93.20069388844409,44
221,S01.132,9,81,81.0,75.0,20.0,20,29.116146723081336,58.666666666666664,81
222,S01.133,182,473,134.0,49.0,20.0,10,76.83407102504135,78.8021978021978,20
223,S01.134,321,288,35.0,25.0,20.0,6,37.70033559185273,34.8411214953271,24
224,S01.135,1464,1991,110.0,52.5,28.0,3,161.75124886249782,100.48155737704919,22
225,S01.139,3545,1991,131.0,65.0,33.0,3,149.47327543632082,109.86741889985896,20
226,S01.140,223,1117,95.0,58.0,41.5,4,118.85185358008637,94.85650224215247,44
227,S01.143,96,257,35.0,24.0,20.0,3,48.43731706247288,39.375,20
228,S01.146,47,320,88.5,43.0,20.0,5,84.96250465375758,74.36170212765957,20
229,S01.147,8,122,96.5,78.5,40.25,17,36.932128869822044,71.625,107
230,S01.152,77,228,26.0,22.0,17.0,5,42.89523313015677,31.805194805194805,21
231,S01.153,51,465,94.5,79.0,31.0,5,103.90120118575693,96.98039215686275,79
232,S01.155,1,21,21.0,21.0,21.0,21,0.0,21.0,21
233,S01.156,7,221,221.0,78.0,49.0,49,88.65744671003591,126.85714285714286,221
234,S01.157,15,221,128.0,35.0,35.0,35,85.1392137283738,84.6,35
235,S01.159,7,471,87.5,55.0,38.0,21,159.7466744567786,114.0,55
236,S01.160,54,499,111.25,50.0,23.25,9,122.99340656028104,99.5925925925926,49
237,S01.161,204,490,169.0,90.0,36.0,9,112.8638023367536,118.65196078431373,22
238,S01.162,412,490,163.0,87.0,29.0,12,122.94004329792806,120.90776699029126,120
239,S01.174,95,684,52.5,28.0,20.5,5,78.5276365214717,51.242105263157896,21
240,S01.189,4,243,104.25,58.0,45.0,6,104.09410806252838,91.25,58
241,S01.191,5,281,200.0,66.0,60.0,58,102.26925246622271,133.0,66
242,S01.192,21,243,116.0,76.0,54.0,24,66.10165331841989,99.85714285714286,67
243,S01.193,11,281,118.5,60.0,44.5,24,81.03837474812894,95.27272727272727,35
244,S01.194,14,146,117.0,35.5,26.25,11,55.0198765282767,61.57142857142857,36
245,S01.196,20,145,63.0,32.5,26.0,20,51.91944671670164,57.05,36
246,S01.198,30,281,165.0,116.0,61.25,26,78.01886744987343,124.43333333333334,165
247,S01.199,21,148,144.0,36.0,26.0,11,56.65589533482351,67.76190476190476,36
248,S01.211,22,318,84.0,84.0,46.0,37,84.82189131794485,107.9090909090909,84
249,S01.212,98,246,104.0,80.5,42.5,24,58.69083432054926,93.72448979591837,104
250,S01.213,46,236,84.0,78.0,43.0,37,71.1779324484271,93.54347826086956,46
251,S01.214,29,908,179.0,143.0,37.0,10,178.0362364178498,149.48275862068965,21
252,S01.215,103,882,179.0,147.0,34.0,10,179.38453910199968,159.02912621359224,34
253,S01.216,367,908,169.5,79.0,34.0,9,165.9558574734272,137.0190735694823,79
254,S01.217,858,1232,126.75,46.0,33.0,3,120.61299158888797,96.89277389277389,42
255,S01.218,175,908,179.0,149.0,34.0,9,192.82125808578922,182.90857142857143,20
256,S01.223,3,249,165.0,81.0,51.0,21,118.18629362155326,117.0,249
257,S01.224,394,1152,126.0,63.0,36.25,3,144.92804458945662,108.83502538071066,21
258,S01.228,12,227,85.5,79.0,78.75,77,57.10191579867341,104.41666666666667,79
259,S01.229,29,281,122.0,69.0,46.0,23,74.8938986774844,101.10344827586206,35
260,S01.231,67,1027,98.0,86.0,49.0,7,178.61921779606666,130.43283582089552,79
261,S01.232,25,541,82.0,78.0,22.0,11,112.91268012642925,89.24,79
262,S01.233,777,1101,114.0,47.0,26.0,3,138.07735155822766,101.82239382239382,21
263,S01.236,381,684,49.0,24.0,20.0,5,86.36055173343803,53.52230971128609,21
264,S01.237,48,1912,57.75,54.5,39.75,21,375.4014565050318,144.04166666666666,54
265,S01.244,58,301,129.0,88.5,44.0,11,80.81394201770144,105.8103448275862,44
266,S01.247,4,234,82.5,28.0,23.75,23,103.91142061069772,78.25,24
267,S01.251,366,647,117.5,80.0,34.0,5,116.49947396743138,108.55191256830601,45
268,S01.252,6,246,201.25,59.5,28.75,24,106.03710042559004,109.33333333333333,37
269,S01.257,9,235,228.0,225.0,222.0,32,65.10077657840274,205.11111111111111,225
270,S01.258,41,1141,175.0,49.0,28.0,6,368.6420201555843,213.7560975609756,49
271,S01.277,89,761,97.0,59.0,28.0,15,176.41790461412123,120.86516853932584,96
272,S01.278,273,1061,82.0,24.0,20.0,3,122.74295854349586,80.93406593406593,20
273,S01.286,1,26,26.0,26.0,26.0,26,0.0,26.0,26
274,S01.300,8,235,234.0,120.0,13.0,13,117.35264316214977,122.75,13
275,S01.302,356,3717,129.0,68.0,36.0,6,337.63343314846213,144.5056179775281,44
276,S01.306,153,1531,137.0,87.0,46.0,10,196.34917678973395,134.2156862745098,44
277,S01.308,554,1991,127.5,66.0,30.0,3,164.0417677168713,111.95667870036101,22
278,S01.975,6,226,83.5,79.0,78.25,77,59.833101206606365,104.0,79
279,S08.039,8,313,307.0,243.0,199.75,73,98.804912399565,225.125,73
280,S08.063,163,812,85.5,33.0,21.0,8,164.59139075534253,108.91411042944786,21
281,S08.071,1287,4400,110.0,54.0,33.5,4,205.4412525389871,108.37995337995338,21
282,S08.072,100,443,43.0,31.0,23.0,3,85.91739690487073,65.17,31
283,S08.073,742,4400,93.0,40.0,26.0,3,242.37733260841077,107.12938005390835,21
284,S08.074,648,4400,104.0,42.0,28.75,3,256.99739240301295,114.08024691358025,21
285,S08.075,686,4400,106.75,42.0,28.0,3,253.09482694440388,114.47667638483965,21
286,S08.076,690,4400,104.0,42.0,29.25,3,254.48120278486897,115.91739130434783,21
287,S08.077,658,4400,102.5,42.0,28.0,3,255.21757455753294,112.95744680851064,21
288,S09.001,63,171,106.0,34.0,28.0,11,46.501413574360534,69.68253968253968,106
289,S09.003,10,88,34.5,20.0,6.5,3,27.675902073022943,27.8,20
290,S09.004,48,684,92.25,48.0,21.0,15,160.8710278100208,99.54166666666667,20
291,S09.007,4,55,55.0,38.5,22.0,22,19.05255888325765,38.5,22
292,S09.018,4,11,6.5,4.0,3.0,3,3.7859388972001824,5.5,3
293,S09.019,3,137,103.0,69.0,39.0,9,64.04165311212175,71.66666666666667,69
294,S10.002,8,347,151.25,30.0,20.0,4,119.52883692708993,94.5,347
295,S16.002,4,214,214.0,214.0,214.0,214,0.0,214.0,214
296,S26.002,7,367,110.5,34.0,22.5,14,127.44111618797953,97.28571428571429,78
297,S26.010,418,1212,124.0,43.0,21.0,3,120.9520039581101,93.56937799043062,21
298,S28.001,22,169,56.25,27.5,21.0,12,42.48890866223042,47.45454545454545,21
299,S28.002,5,169,105.0,104.0,104.0,34,47.756674926129435,103.2,104
300,S53.003,26,365,365.0,61.0,34.0,20,150.06958386028796,150.0,34
301,S54.009,36,471,23.0,20.0,15.5,6,92.83743685895084,42.80555555555556,20
302,S59.001,8,267,146.25,54.5,23.25,20,88.63569097313855,92.5,143
303,S60.001,18,413,328.0,261.0,253.0,23,128.71745416428942,244.77777777777777,328
304,S60.972,12,327,327.0,326.0,9.0,9,156.32677507727396,220.66666666666666,327
305,S68.001,16,142,134.0,58.0,28.5,25,52.602756581761,76.125,133
306,S71.001,10,1135,657.5,55.5,23.25,8,467.4038106629237,327.1,1135
307,S72.001,14,379,106.5,75.0,23.75,16,95.46485458815962,89.0,23
308,S79.001,6,286,146.5,113.5,43.75,21,97.78275239870611,118.66666666666667,286
309,T01.010,59,212,25.0,13.0,8.0,6,44.28409031004205,26.23728813559322,8
310,T01.011,70,387,29.0,21.0,8.0,6,90.22573026391261,50.114285714285714,8
311,T01.012,318,387,29.0,13.0,8.0,6,68.99486855837654,34.716981132075475,8
312,T02.004,62,176,115.0,68.0,51.0,17,45.284925575734235,79.35483870967742,17
